old_name,planned_new_name,final_new_name,status,reason
det_data_v8m_640_b16_voc2yolo-all-v1,train_det_data_v8m_voc2yolo-all-v1,train_det_data_v8m_voc2yolo-all-v1,renamed,ok
det_r22c_v8n_1024_b16_drone-and-motorbike-mixe,train_det_rddcn_v8n_drone-and-motorbike-mixe,train_det_rddcn_v8n_drone-and-motorbike-mixe,renamed,ok
det_r22i_v8n_640_b16_voc2yolo-v1,train_det_data_v8n_voc2yolo-v1,train_det_data_v8n_voc2yolo-v1,renamed,ok
det_r22j_v8n_640_b16_voc2yolo-v1,train_det_data_v8n_voc2yolo-v1_2,train_det_data_v8n_voc2yolo-v1_2,renamed,ok
misc_crack500_csc_con_na_0_b0_manual,misc_crack500_csc_con_na_0_b0_manual,misc_crack500_csc_con_na_0_b0_manual,manual_keep,user_confirmed_keep_original_name
seg_cr5_last_800_b24_mask2poly-v2__open1close,train_seg_crack500_last_mask2poly-v2__open1close,train_seg_crack500_last_mask2poly-v2__open1close,renamed,ok
seg_cr5_v8nseg_640_b16_mask2poly-traincrop-valc,train_seg_crack500_v8nseg_mask2poly-traincrop-valc,train_seg_crack500_v8nseg_mask2poly-traincrop-valc,renamed,ok
seg_cr5_v8nseg_800_b24_mask2poly-v2__open1close,train_seg_crack500_v8nseg_mask2poly-v2__open1close,train_seg_crack500_v8nseg_mask2poly-v2__open1close,renamed,ok
seg_r22c_best-best_0_b0_cascade,train_seg_r22c_best-best_0_v8nseg,seg_r22c_best-best_0_b0_cascade,manual_keep,user_confirmed_keep_original_name
seg_r22c_best-best_1280_b0_cascade,train_seg_r22c_best-best_1_v8nseg,seg_r22c_best-best_1280_b0_cascade,manual_keep,user_confirmed_keep_original_name
seg_r22c_best_512_b16_d20_sg400_sc35,train_seg_rddcn_best_d20_sg400_sc35,train_seg_rddcn_best_d20_sg400_sc35,renamed,ok
seg_r22c_best_512_b16_pseg512_det20_sg400_sc55,train_seg_rddcn_best_pseg512_det20_sg400_sc55,train_seg_rddcn_best_pseg512_det20_sg400_sc55,renamed,ok
seg_sgt_best-best_1280_b0_cascade,pred_cascade_seg_test_best,pred_cascade_seg_test_best,renamed,ok
